country_code,indicator_code,date,frequency,source_count,min_value,max_value,absolute_diff,relative_diff,status
FR,CPI_YOY_M,2023-08,M,2,4.859764,5.7,0.840236,0.15913916257976976,warning
FR,CPI_YOY_M,2023-09,M,2,4.896221,5.7,0.8037790000000005,0.15171050131929117,warning
FR,CPI_YOY_M,2024-07,M,2,2.302268,2.7,0.397732,0.15902066822489316,warning
FR,CPI_YOY_M,2024-08,M,2,1.825217,2.2,0.3747830000000001,0.18621753808552435,warning
FR,CPI_YOY_M,2024-09,M,2,1.099273,1.4,0.30072699999999997,0.24065158147989435,warning
FR,CPI_YOY_M,2024-10,M,2,1.232796,1.6,0.3672040000000001,0.25925198990679177,warning
FR,CPI_YOY_M,2024-11,M,2,1.260255,1.7,0.43974500000000005,0.29709940528772016,warning
FR,CPI_YOY_M,2024-12,M,2,1.317679,1.8,0.482321,0.30941030170200334,warning
FR,CPI_YOY_M,2025-03,M,2,0.7616975,0.9,0.1383025,0.16645929839817414,warning
FR,CPI_YOY_M,2025-10,M,2,0.8,0.9425306,0.14253059999999995,0.16359035531427676,warning
IT,CPI_YOY_M,2015-02,M,2,-0.09319665,0.1,0.19319665000000003,2.0,warning
IT,CPI_YOY_M,2015-03,M,2,-0.09310987,0.0,0.09310987,2.0,warning
IT,CPI_YOY_M,2015-05,M,2,0.09302326,0.2,0.10697674000000001,0.7301586911564633,warning
IT,CPI_YOY_M,2015-07,M,2,0.1860465,0.4,0.21395350000000002,0.7301587843285473,warning
IT,CPI_YOY_M,2015-08,M,2,0.185701,0.3,0.11429899999999998,0.47065581499729253,warning
IT,CPI_YOY_M,2016-01,M,2,0.2527614,0.4,0.1472386,0.45112532695713925,warning
IT,CPI_YOY_M,2016-02,M,2,-0.3218757,-0.2,0.12187569999999998,0.46706792441188566,warning
IT,CPI_YOY_M,2016-04,M,2,-0.5000473,-0.4,0.10004729999999995,0.22231564941086973,warning
IT,CPI_YOY_M,2016-06,M,2,-0.3780622,-0.2,0.1780622,0.6160658835675469,warning
IT,CPI_YOY_M,2016-07,M,2,-0.2,-0.08593418,0.11406582000000001,0.7978466932494744,warning
IT,CPI_YOY_M,2016-08,M,2,-0.1,-0.07187323,0.02812677000000001,0.3272966941972291,warning
IT,CPI_YOY_M,2016-10,M,2,-0.1857484,-0.1,0.0857484,0.6001671400434788,warning
IT,CPI_YOY_M,2017-08,M,2,1.196411,1.4,0.20358900000000002,0.15682339968518083,warning
IT,CPI_YOY_M,2017-09,M,2,1.098901,1.3,0.20109900000000014,0.1676592739758749,warning
IT,CPI_YOY_M,2017-11,M,2,0.9009009,1.1,0.19909910000000008,0.1990094561904591,warning
IT,CPI_YOY_M,2018-01,M,2,0.8946322,1.2,0.30536779999999997,0.29157176138130597,warning
IT,CPI_YOY_M,2018-04,M,2,0.4930966,0.6,0.10690339999999998,0.1955973515972879,warning
IT,CPI_YOY_M,2018-07,M,2,1.482213,1.9,0.4177869999999999,0.24704949096937412,warning
IT,CPI_YOY_M,2019-06,M,2,0.6835938,0.8,0.11640620000000002,0.15692462451649503,warning
IT,CPI_YOY_M,2019-07,M,2,0.3,0.3894839,0.0894839,0.2595677723584264,warning
